food_id,food_name,price_dollars,kcal,nutrition_fat_g,nutrition_cholesterol_mg,nutrition_sodium_mg,nutrition_carbohydrates_g,nutrition_fiber_g,nutrition_sugar_g,nutrition_protein_g,food_category,locationid,location_name
-2123361,Chocolate Cake,18.94,520,42,54,571,121,5,19,52,Desserts,81,location_81
-2123360,Minestrone,9.14,492,43,96,187,41,14,88,31,Soups,82,location_82
-2123359,Cheeseburger,16.45,748,12,18,1947,121,10,5,23,Fast Food,53,location_53
-2123358,Sushi Roll,19.13,734,26,49,1319,122,12,78,56,Special,66,location_66
-2123357,Omelette,19.25,728,28,15,1215,97,8,29,30,Breakfast,44,location_44
-2123356,Orange Juice,2.08,263,39,55,1654,19,5,60,50,Beverages,34,location_34
-2123355,Fried Chicken,1.98,460,3,12,398,119,9,60,45,Fast Food,69,location_69
-2123354,Pancakes,17.91,613,32,87,949,147,6,74,42,Breakfast,36,location_36
-2123353,Avocado Toast,17.5,720,48,120,1519,45,4,66,59,Breakfast,25,location_25
-2123352,Garlic Bread,5.24,357,27,130,343,76,4,27,34,Sides,32,location_32
-2123351,Lemonade,4.88,1171,38,1,1845,87,10,90,38,Beverages,90,location_90
-2123350,Cobb Salad,12.12,978,1,106,1146,129,10,48,40,Salads,22,location_22
-2123349,Pizza Slice,17.89,1192,23,30,1670,63,9,1,19,Fast Food,1,location_1
-2123348,Orange,14.33,1014,19,51,851,52,5,43,14,Whole Fruit,11,location_11
-2123347,Cobb Salad,9.38,368,65,47,1458,137,4,86,52,Salads,14,location_14
-2123346,Orange,6.36,850,76,18,269,133,5,53,25,Whole Fruit,71,location_71
-2123345,Green Tea,19.33,321,71,38,1118,6,11,39,7,Beverages,67,location_67
-2123344,Steak Dinner,6.21,577,28,3,1355,149,14,10,5,Special,61,location_61
-2123343,Strawberries,17.36,386,23,12,1266,92,6,2,59,Whole Fruit,18,location_18
-2123342,Hot Dog,10.79,77,54,39,1417,14,14,19,23,Fast Food,58,location_58
-2123341,Quinoa Salad,4.04,556,38,4,1292,109,6,86,20,Salads,85,location_85
-2123340,Rice Pilaf,6.68,741,30,4,1772,45,8,15,29,Sides,87,location_87
-2123339,Grapes,12.19,64,30,139,719,18,1,10,52,Whole Fruit,38,location_38
-2123338,Omelette,19.85,559,10,148,907,123,15,27,51,Breakfast,47,location_47
-2123337,Cheeseburger,13.12,768,39,29,1167,48,12,9,7,Fast Food,77,location_77
-2123336,Brownie,9.4,851,58,77,1132,23,4,77,53,Desserts,100,location_100
-2123335,Lentil Soup,12.93,873,18,43,1381,120,1,65,3,Soups,51,location_51
-2123334,Grapes,6.29,587,34,140,227,12,13,88,40,Whole Fruit,47,location_47
-2123333,Omelette,5.51,100,2,118,422,69,3,73,21,Breakfast,92,location_92
-2123332,Coffee,18.28,1152,60,23,704,100,1,38,44,Beverages,99,location_99
-2123331,Pancakes,19.78,418,33,93,1357,18,8,38,2,Breakfast,97,location_97
-2123330,Rice Pilaf,18.82,670,1,98,172,133,0,91,5,Sides,68,location_68
-2123329,Steamed Vegetables,16.78,575,54,13,278,106,6,3,58,Sides,67,location_67
-2123328,Greek Salad,17.32,744,24,79,1435,34,8,39,17,Salads,88,location_88
-2123327,Orange,15.75,213,32,140,827,30,7,20,47,Whole Fruit,23,location_23
-2123326,Lemonade,9.52,741,33,129,476,11,15,87,51,Beverages,22,location_22
-2123325,Omelette,18.43,505,69,58,1213,20,14,33,43,Breakfast,67,location_67
-2123324,Clam Chowder,7.1,1043,71,51,1374,33,14,29,25,Soups,56,location_56
-2123323,Banana,5.81,822,32,138,1700,8,8,100,34,Whole Fruit,93,location_93
-2123322,French Fries,15.92,521,29,99,844,143,6,7,0,Fast Food,59,location_59
-2123321,Caesar Salad,16.06,627,30,44,102,25,11,71,34,Salads,67,location_67
-2123320,Banana,5.81,491,78,140,1213,148,2,67,44,Whole Fruit,44,location_44
-2123319,Greek Salad,12.41,1106,2,45,1075,65,11,66,30,Salads,73,location_73
-2123318,Brownie,7.78,498,68,90,147,127,8,56,0,Desserts,82,location_82
-2123317,Orange,3.23,629,57,33,220,84,13,30,31,Whole Fruit,18,location_18
-2123316,Bagel with Cream Cheese,13.87,406,33,0,983,101,2,74,51,Breakfast,81,location_81
-2123315,Coffee,18.37,675,26,74,1241,78,14,47,48,Beverages,98,location_98
-2123314,Chocolate Cake,19.61,1093,39,131,1739,138,2,91,23,Desserts,43,location_43
-2123313,Coffee,18.9,207,27,65,1565,4,4,78,40,Beverages,23,location_23
-2123312,Ice Cream,9.18,632,30,85,564,100,2,89,26,Desserts,93,location_93
-2123311,Minestrone,5.04,907,54,32,1246,45,1,25,19,Soups,35,location_35
-2123310,French Fries,6.43,1018,60,88,1686,77,13,70,27,Fast Food,26,location_26
-2123309,Steak Dinner,8.87,973,19,104,909,83,8,12,49,Special,67,location_67
-2123308,Mashed Potatoes,4.67,993,48,14,1511,117,8,6,32,Sides,6,location_6
-2123307,Doughnut,5.97,297,21,112,1856,28,10,54,16,Desserts,82,location_82
-2123306,Smoothie,14.3,296,20,42,544,123,15,44,21,Beverages,98,location_98
-2123305,Cobb Salad,5.76,550,0,32,1238,117,12,44,39,Salads,95,location_95
-2123304,Minestrone,15.59,1138,47,92,1184,94,2,19,22,Soups,42,location_42
-2123303,Garlic Bread,14.52,404,49,81,1632,114,2,18,56,Sides,5,location_5
-2123302,Pizza Slice,3.16,74,38,146,1336,65,14,16,34,Fast Food,55,location_55
-2123301,Hot Dog,11.67,1197,47,81,93,60,12,4,54,Fast Food,48,location_48
-2123300,Clam Chowder,14.66,1148,39,93,913,95,13,59,6,Soups,17,location_17
-2123299,Greek Salad,9.01,290,12,37,102,94,9,67,56,Salads,65,location_65
-2123298,Coleslaw,5.19,704,48,137,1361,121,12,63,20,Sides,12,location_12
-2123297,French Fries,8.09,395,58,130,1966,21,0,13,13,Fast Food,71,location_71
-2123296,Vegetable Stir-fry,4.56,597,72,149,179,3,12,6,52,Special,98,location_98
-2123295,Strawberries,16.73,740,51,68,661,74,4,47,49,Whole Fruit,15,location_15
-2123294,Steamed Vegetables,13.42,820,57,79,1106,146,13,76,25,Sides,74,location_74
-2123293,French Fries,6.51,824,3,24,1130,136,6,69,6,Fast Food,53,location_53
-2123292,Chocolate Cake,14.71,1132,36,130,457,9,11,25,25,Desserts,47,location_47
-2123291,Minestrone,8.76,1042,25,95,450,134,2,86,55,Soups,74,location_74
-2123290,Pancakes,19.59,505,43,15,1150,89,9,38,49,Breakfast,55,location_55
-2123289,Granola,19.56,614,3,112,412,113,15,15,13,Breakfast,27,location_27
-2123288,Steak Dinner,3.43,1058,47,149,1033,144,3,28,52,Special,61,location_61
-2123287,Omelette,3.68,311,10,41,1137,54,7,26,53,Breakfast,77,location_77
-2123286,Sushi Roll,18.68,960,17,30,14,31,4,52,13,Special,86,location_86
-2123285,Avocado Toast,2.14,302,23,26,1954,102,15,87,53,Breakfast,93,location_93
-2123284,Ice Cream,9.53,383,13,17,55,110,2,94,24,Desserts,73,location_73
-2123283,Grapes,15.48,656,73,138,1899,143,2,32,12,Whole Fruit,10,location_10
-2123282,Green Tea,14.83,874,32,63,357,68,2,75,8,Beverages,56,location_56
-2123281,Bagel with Cream Cheese,17.08,196,30,55,1431,29,7,60,51,Breakfast,35,location_35
-2123280,Green Tea,11.1,166,40,73,1095,14,2,38,10,Beverages,28,location_28
-2123279,Steak Dinner,6.78,400,31,21,729,99,11,22,57,Special,69,location_69
-2123278,Banana,5.77,268,61,3,755,94,11,58,13,Whole Fruit,56,location_56
-2123277,Garden Salad,5.66,455,26,122,154,1,0,13,12,Salads,94,location_94
-2123276,Steamed Vegetables,19.84,184,2,20,1931,33,2,67,39,Sides,53,location_53
-2123275,Avocado Toast,9.04,1092,35,0,896,95,9,11,0,Breakfast,35,location_35
-2123274,Grapes,17.36,726,68,63,1962,52,10,25,31,Whole Fruit,69,location_69
-2123273,Tomato Soup,19.2,989,4,49,1210,80,0,13,50,Soups,25,location_25
-2123272,Omelette,2.99,293,3,138,753,86,7,75,9,Breakfast,37,location_37
-2123271,Caesar Salad,11.58,588,10,150,1418,65,4,3,37,Salads,33,location_33
-2123270,Fried Chicken,15.45,517,1,2,1995,73,11,33,14,Fast Food,1,location_1
-2123269,Rice Pilaf,4.85,464,35,113,1359,84,13,39,32,Sides,26,location_26
-2123268,Quinoa Salad,13.56,825,77,28,1282,0,14,20,40,Salads,8,location_8
-2123267,Tacos,3.96,986,53,64,209,76,4,68,18,Special,57,location_57
-2123266,Omelette,9.15,335,36,143,1061,112,9,97,54,Breakfast,23,location_23
-2123265,Coffee,3.77,195,53,35,1626,6,4,8,37,Beverages,79,location_79
-2123264,Chocolate Cake,3.03,314,39,149,1097,8,4,26,28,Desserts,39,location_39
-2123263,Coleslaw,6.37,1183,47,65,187,2,9,81,33,Sides,97,location_97
-2123262,Avocado Toast,3.95,929,19,1,987,42,10,91,27,Breakfast,48,location_48
-2123261,Garden Salad,2.4,1065,14,101,566,88,9,85,33,Salads,97,location_97
-2123260,Clam Chowder,9.89,480,15,13,152,66,10,99,15,Soups,86,location_86
-2123259,Pancakes,9.12,760,53,106,1751,86,10,90,11,Breakfast,61,location_61
-2123258,Grapes,10.92,726,25,90,586,136,15,93,12,Whole Fruit,44,location_44
-2123257,Ice Cream,3.65,499,69,50,1727,105,13,25,58,Desserts,70,location_70
-2123256,Quinoa Salad,13.52,689,53,128,1061,124,10,65,28,Salads,24,location_24
-2123255,Ice Cream,1.85,675,10,139,1781,74,5,19,5,Desserts,3,location_3
-2123254,Ice Cream,6.18,705,38,119,448,92,9,80,24,Desserts,17,location_17
-2123253,Chocolate Cake,11.56,1131,34,89,1085,41,1,13,40,Desserts,31,location_31
-2123252,Ice Cream,15.9,83,70,104,766,129,0,4,56,Desserts,28,location_28
-2123251,Quinoa Salad,14.76,345,31,29,934,102,10,51,10,Salads,94,location_94
-2123250,Steak Dinner,2.4,349,40,147,1255,26,11,95,3,Special,35,location_35
-2123249,Cheeseburger,9.77,950,69,38,1699,64,2,52,32,Fast Food,31,location_31
-2123248,Pancakes,2.5,124,6,140,749,41,13,40,21,Breakfast,48,location_48
-2123247,Grilled Salmon,2.93,128,43,111,550,144,4,4,49,Special,6,location_6
-2123246,Hot Dog,17.62,910,71,114,294,128,1,93,20,Fast Food,16,location_16
-2123245,Doughnut,8.66,1136,47,30,1064,105,13,79,35,Desserts,82,location_82
-2123244,Steak Dinner,6.07,668,54,142,73,71,5,43,20,Special,94,location_94
-2123243,Bagel with Cream Cheese,2.74,1074,10,130,1208,14,8,0,48,Breakfast,97,location_97
-2123242,French Fries,1.92,1107,15,56,356,4,6,92,26,Fast Food,92,location_92
-2123241,Tomato Soup,16.31,366,73,1,96,52,11,92,1,Soups,1,location_1
-2123240,Pancakes,11.23,568,74,37,1291,42,0,98,18,Breakfast,11,location_11
-2123239,Tacos,5.57,657,77,145,725,5,15,74,13,Special,69,location_69
-2123238,Lentil Soup,11.35,142,77,66,1962,122,0,52,58,Soups,45,location_45
-2123237,French Fries,8.44,158,69,14,419,57,2,49,21,Fast Food,29,location_29
-2123236,Orange Juice,9.19,1104,3,78,934,130,0,42,47,Beverages,66,location_66
-2123235,French Fries,19.49,1165,52,148,666,72,6,52,29,Fast Food,54,location_54
-2123234,Mashed Potatoes,10.1,419,9,72,1302,8,2,5,37,Sides,17,location_17
-2123233,Bagel with Cream Cheese,17.45,968,41,133,829,128,11,9,34,Breakfast,59,location_59
-2123232,Hot Dog,13.34,1072,10,91,1527,57,2,70,31,Fast Food,66,location_66
-2123231,Ice Cream,7.19,789,4,116,1861,149,3,99,10,Desserts,100,location_100
-2123230,Pancakes,16.41,290,14,124,927,24,11,4,47,Breakfast,15,location_15
-2123229,Grapes,8.53,831,34,150,1474,94,9,95,5,Whole Fruit,94,location_94
-2123228,Fruit Tart,1.53,736,65,13,1865,69,4,54,28,Desserts,64,location_64
-2123227,Caesar Salad,15.57,1014,36,58,1570,39,5,3,2,Salads,88,location_88
-2123226,Greek Salad,16.9,1110,32,50,1337,26,14,97,23,Salads,30,location_30
-2123225,Tomato Soup,3.95,309,14,17,793,52,9,2,58,Soups,22,location_22
-2123224,Cheeseburger,14.3,531,56,61,117,116,6,41,32,Fast Food,48,location_48
-2123223,Coleslaw,18.08,265,57,81,1401,71,0,79,57,Sides,45,location_45
-2123222,Smoothie,12.33,657,31,132,974,47,3,27,39,Beverages,85,location_85
-2123221,Minestrone,15.1,407,56,26,595,23,6,50,60,Soups,70,location_70
-2123220,Cheeseburger,1.9,58,42,19,1861,142,15,71,2,Fast Food,4,location_4
-2123219,Banana,14.34,1111,36,58,869,109,10,35,57,Whole Fruit,71,location_71
-2123218,Chocolate Cake,18.9,855,67,142,1109,58,0,13,58,Desserts,49,location_49
-2123217,Bagel with Cream Cheese,2.34,475,36,39,887,107,13,36,1,Breakfast,96,location_96
-2123216,Brownie,4.7,1114,72,131,14,143,2,82,28,Desserts,59,location_59
-2123215,Green Tea,13.43,1146,2,94,1101,46,3,84,43,Beverages,22,location_22
-2123214,Tacos,18.72,932,23,51,760,72,4,87,42,Special,33,location_33
-2123213,Quinoa Salad,5.75,314,62,66,1417,89,0,57,25,Salads,27,location_27
-2123212,Quinoa Salad,8.34,533,69,113,1757,31,10,48,50,Salads,70,location_70
-2123211,Apple,3.06,297,69,79,1063,54,4,25,20,Whole Fruit,47,location_47
-2123210,Doughnut,6.32,1075,8,113,1601,130,7,100,26,Desserts,64,location_64
-2123209,Pancakes,11.13,853,63,137,539,4,13,86,51,Breakfast,84,location_84
-2123208,Tacos,15.74,840,50,89,1135,79,6,31,31,Special,65,location_65
-2123207,Green Tea,18.91,259,35,75,905,136,11,65,52,Beverages,88,location_88
-2123206,French Fries,19.22,1193,8,58,454,58,5,66,52,Fast Food,68,location_68
-2123205,Mashed Potatoes,8.66,862,15,23,1489,62,15,25,45,Sides,37,location_37
-2123204,Orange,3.16,1008,28,89,1251,18,8,86,32,Whole Fruit,90,location_90
-2123203,Caesar Salad,10.1,435,23,62,1220,74,8,3,41,Salads,51,location_51
-2123202,Hot Dog,9.25,566,7,84,304,133,3,20,26,Fast Food,49,location_49
-2123201,Clam Chowder,11.57,1124,29,123,888,41,7,44,46,Soups,12,location_12
-2123200,Coleslaw,2.14,97,26,137,49,10,2,76,54,Sides,77,location_77
-2123199,Granola,7.46,382,65,70,734,138,7,89,10,Breakfast,6,location_6
-2123198,Brownie,2.69,691,16,103,828,74,7,10,47,Desserts,72,location_72
-2123197,Steamed Vegetables,2.78,64,51,129,256,58,14,64,50,Sides,12,location_12
-2123196,Tacos,13.24,376,35,114,333,137,3,49,37,Special,58,location_58
-2123195,Tacos,17.52,1150,9,11,162,136,3,59,57,Special,3,location_3
-2123194,Grilled Salmon,18.76,487,34,87,1692,83,11,82,47,Special,12,location_12
-2123193,Sushi Roll,8.93,359,68,63,611,36,11,47,7,Special,84,location_84
-2123192,Pancakes,9.27,747,26,74,68,25,6,13,22,Breakfast,68,location_68
-2123191,Quinoa Salad,9.37,400,23,129,1816,22,15,19,56,Salads,67,location_67
-2123190,Coleslaw,14.48,859,72,36,1099,107,1,54,15,Sides,82,location_82
-2123189,Granola,6.88,710,41,68,1861,68,13,58,21,Breakfast,5,location_5
-2123188,Coffee,13.11,801,25,6,1329,40,7,94,57,Beverages,82,location_82
-2123187,Fried Chicken,16.23,471,73,7,965,95,6,100,15,Fast Food,61,location_61
-2123186,Avocado Toast,14.92,993,26,132,1522,18,15,6,28,Breakfast,35,location_35
-2123185,Ice Cream,12.73,162,67,64,1067,13,15,86,34,Desserts,8,location_8
-2123184,Strawberries,9.68,1098,32,65,1143,24,3,28,13,Whole Fruit,94,location_94
-2123183,Sushi Roll,16.98,112,20,52,1590,116,13,95,24,Special,59,location_59
-2123182,Granola,5.9,1030,1,148,267,79,6,37,52,Breakfast,83,location_83
-2123181,Lemonade,13.6,713,39,3,1619,102,12,42,52,Beverages,6,location_6
-2123180,Orange Juice,1.71,814,5,135,1530,112,5,7,12,Beverages,5,location_5
-2123179,Avocado Toast,10.19,1183,11,108,480,73,8,60,24,Breakfast,37,location_37
-2123178,Mashed Potatoes,15.44,1058,35,48,379,27,6,49,17,Sides,100,location_100
-2123177,Clam Chowder,12.78,199,78,112,848,32,9,22,58,Soups,14,location_14
-2123176,Greek Salad,12.68,715,74,116,1239,78,1,12,55,Salads,74,location_74
-2123175,Granola,1.97,1180,46,16,1579,14,15,32,56,Breakfast,4,location_4
-2123174,Cheeseburger,9.91,593,12,9,1428,80,2,75,31,Fast Food,59,location_59
-2123173,Lentil Soup,5.95,275,53,61,1980,61,14,49,11,Soups,42,location_42
-2123172,Lemonade,15.24,123,16,74,491,45,8,22,21,Beverages,93,location_93
-2123171,Chicken Noodle Soup,14.91,225,11,8,696,149,6,18,44,Soups,44,location_44
-2123170,Green Tea,12.51,194,56,73,1506,35,15,43,49,Beverages,45,location_45
-2123169,Smoothie,8.57,490,64,104,1810,127,0,64,14,Beverages,87,location_87
-2123168,Chicken Noodle Soup,5.11,912,9,142,963,80,0,47,42,Soups,95,location_95
-2123167,Omelette,5.06,482,51,115,460,98,1,34,25,Breakfast,52,location_52
-2123166,Ice Cream,18.21,243,41,33,400,67,4,72,52,Desserts,10,location_10
-2123165,Fried Chicken,12.58,456,29,56,1459,134,5,98,25,Fast Food,1,location_1
-2123164,French Fries,7.14,622,26,148,1793,61,11,57,37,Fast Food,68,location_68
-2123163,Tacos,13.25,555,51,40,11,35,0,93,46,Special,47,location_47
-2123162,Grapes,12.76,397,78,138,1266,19,2,99,50,Whole Fruit,17,location_17
-2123161,Omelette,19.22,102,1,117,295,142,2,10,13,Breakfast,27,location_27
-2123160,Brownie,13.46,388,13,70,1779,13,5,97,59,Desserts,55,location_55
-2123159,Coleslaw,19.46,266,2,111,768,19,13,12,34,Sides,40,location_40
-2123158,Ice Cream,17.81,706,64,138,1760,77,11,76,7,Desserts,47,location_47
-2123157,Pancakes,6.11,458,7,88,245,69,14,19,52,Breakfast,14,location_14
-2123156,Cheeseburger,7.87,1010,4,32,113,150,2,81,43,Fast Food,49,location_49
-2123155,Fried Chicken,13.76,93,59,111,1435,85,15,100,22,Fast Food,42,location_42
-2123154,Lemonade,5.85,91,49,43,1676,13,2,87,40,Beverages,22,location_22
-2123153,Cobb Salad,14.57,361,9,89,504,33,12,39,46,Salads,99,location_99
-2123152,Caesar Salad,2.7,310,16,138,1773,138,5,51,60,Salads,27,location_27
-2123151,Orange Juice,1.58,837,77,107,741,22,9,86,13,Beverages,97,location_97
-2123150,Steak Dinner,6.38,766,42,89,1334,46,2,74,55,Special,61,location_61
-2123149,Sushi Roll,13.02,347,18,133,787,1,4,52,56,Special,69,location_69
-2123148,Vegetable Stir-fry,3.38,1030,17,72,1244,138,14,5,58,Special,91,location_91
-2123147,Mashed Potatoes,3.2,1070,40,91,187,44,9,28,50,Sides,12,location_12
-2123146,Chicken Noodle Soup,17.88,105,67,108,409,142,7,78,34,Soups,82,location_82
-2123145,Omelette,18.78,782,61,86,1240,8,6,85,8,Breakfast,88,location_88
-2123144,Fruit Tart,14.74,1150,53,95,1993,5,3,57,60,Desserts,29,location_29
-2123143,Brownie,6.44,797,14,30,1473,148,12,72,4,Desserts,13,location_13
-2123142,Caesar Salad,2.24,653,31,135,864,50,2,72,11,Salads,63,location_63
-2123141,Pizza Slice,14.09,988,70,20,1365,39,7,48,59,Fast Food,50,location_50
